ACCESS TYPE;;YEAR;;AUTHOR NAME;;SUBJECT AREA;;DOCUMENT TYPE;;PUBLICATION STAGE;;SOURCE TITLE;;KEYWORD;;AFFILIATION;;FUNDING SPONSOR;;COUNTRY;;SOURCE TYPE;;LANGUAGE;
;;;;Thöne-Reineke, C.;2;;;;;;;Annali Di Igiene Medicina Preventiva E Di Comunita;1;Latent Period;11;Bharathiar University;2;American Society of Parasitologists;1;Taiwan;1;;;;
;;;;Velankar, A.D.;2;;;;;;;Annals Of Indian Academy Of Neurology;1;Physiology;11;University of Mysore;2;American Society of Primatologists;1;Undefined;3;;;;
;;;;Wang, W.;2;;;;;;;Applied Mathematical Modelling;1;Primates;11;IRCCS Fondazione Santa Lucia;2;American Veterinary Medical Association;1;;;;;;
;;;;Wei, N.;2;;;;;;;Archives Of Oral Biology;1;Traffic Grooming;11;Universidade Federal de Sao Paulo;2;Animal and Plant Health Inspection Service;1;;;;;;
;;;;Willuhn, I.;2;;;;;;;Archives Of Physical Medicine And Rehabilitation;1;Autism;10;The University of Tennessee, Knoxville;2;Arvid Carlsson Fonden;1;;;;;;
;;;;Yu, P.;2;;;;;;;Artificial Cells Nanomedicine And Biotechnology;1;Body Weight;10;University of Aberdeen;2;AssociaÃ§Ã£o Fundo de Incentivo Ã  Pesquisa;1;;;;;;
;;;;Yu, Y.;2;;;;;;;Auk;1;Brain Derived Neurotrophic Factor;10;SungKyunKwan University, School of Medicine;2;Banaras Hindu University;1;;;;;;
;;;;Zhao, H.;2;;;;;;;Behavioral Ecology;1;Child;10;Manipal Academy of Higher Education;2;BenemÃ©rita Universidad AutÃ³noma de Puebla;1;;;;;;
;;;;Zhao, S.;2;;;;;;;Berliner Und Munchener Tierarztliche Wochenschrift;1;Feeding Behavior;10;University of Toronto;2;Biomedical Research Council;1;;;;;;
;;;;von Fersen, L.;2;;;;;;;Biology Letters;1;Gene Expression;10;National University of Singapore;2;Brain and Behavior Research Foundation;1;;;;;;
;;;;Abe, N.;1;;;;;;;Biomed Research International;1;Immunohistochemistry;10;Chinese Academy of Agricultural Sciences;2;Branco Weiss Fellowship â Society in Science;1;;;;;;
;;;;Abramova, O.V.;1;;;;;;;Brain Sciences;1;Phenotype;10;Macquarie University;2;Brigham Young University;1;;;;;;
